"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"3548","p","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3550","e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3551","e","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3553","e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3555","p","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3557","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","d"
"3558","p","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3559","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3560","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","d"
"3561","p","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3562","e","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3563","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3564","e","f","y","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3567","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3568","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3572","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3574","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"3575","e","f","f","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3579","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3581","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3582","p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3583","e","f","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3584","p","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3585","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"3589","e","f","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3591","p","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3592","e","x","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"3593","e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3594","e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3595","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3596","e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3598","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","g"
"3599","e","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3600","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g"
"3601","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3602","e","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3604","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3606","p","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3607","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g"
"3608","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3609","p","f","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3610","e","f","f","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3611","p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","d"
"3615","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","d"
"3616","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3618","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3619","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3623","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3625","e","x","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3626","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","d"
"3630","e","f","y","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3632","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3633","p","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3634","p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","g"
"3636","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3638","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3639","e","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3640","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3641","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3643","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3646","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3647","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"3648","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","g"
"3650","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3651","e","f","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3654","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3655","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3656","e","f","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3657","p","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3660","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3661","e","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3662","p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3663","e","x","y","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3664","p","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3665","e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3667","e","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"3669","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3670","e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3671","p","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3673","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3674","e","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3677","e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3679","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3684","p","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3686","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3689","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3690","e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3691","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3692","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3694","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3695","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","g"
"3697","e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","d"
"3699","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3701","e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3702","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"3703","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3704","p","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3705","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3706","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3708","p","x","f","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3711","p","x","f","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3716","e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3717","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3718","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"3719","p","f","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","d"
"3720","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"3722","e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3723","e","x","y","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3726","p","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3727","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3728","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"3729","e","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3730","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3732","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3733","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3734","e","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3735","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3737","e","f","y","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3739","p","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3740","p","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3741","e","x","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3743","p","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3746","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"3748","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"3749","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3750","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3751","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3753","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3756","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","g"
"3757","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3759","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3760","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3765","e","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3766","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3770","e","f","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3771","e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3772","e","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3773","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3774","e","x","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3775","e","f","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3776","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3778","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3780","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3785","e","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"3787","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3788","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3791","p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","d"
"3792","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3793","p","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3794","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3795","p","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3797","p","x","s","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3802","p","x","s","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3804","e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3806","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3809","p","f","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","g"
"3810","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3814","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","d"
"3816","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3817","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3819","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3820","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3821","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3823","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","d"
"3824","e","x","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3826","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3827","p","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3828","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3831","e","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3833","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"3838","e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3840","e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3842","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3843","e","f","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3844","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g"
"3845","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3846","p","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3847","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3848","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3849","e","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3850","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3852","e","f","y","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3853","p","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3854","e","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3855","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","g"
"3857","e","f","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"3859","p","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3860","p","x","f","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3861","e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3865","p","x","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","d"
"3867","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3869","p","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3870","p","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3872","p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","d"
"3874","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d"
"3875","p","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3877","p","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3878","e","f","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3880","p","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3883","p","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3884","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3885","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3886","p","x","f","g","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3888","p","x","s","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3889","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3890","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3891","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","g"
"3895","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3897","e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3900","e","f","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3902","p","x","y","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3903","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3905","p","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3910","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","d"
"3911","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3914","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","g"
"3916","e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3918","p","x","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","g"
"3920","p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3921","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3923","e","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3926","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","d"
"3927","p","x","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"3929","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3930","p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","d"
"3933","p","f","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","d"
"3934","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3935","p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3936","p","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3938","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3939","e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3941","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3942","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","g"
"3943","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3945","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"3947","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","d"
"3948","p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3949","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"3951","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","g"
"3952","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","g"
"3956","p","x","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3959","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3962","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","d"
"3966","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","g"
"3967","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","g"
"3968","p","f","y","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3969","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3970","p","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3974","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3975","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3979","p","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3981","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g"
"3983","p","f","s","w","t","f","f","c","b","p","t","b","f","s","w","w","p","w","o","p","h","v","g"
"3984","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3986","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","g"
"3992","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","d"
"3993","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3994","p","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3996","p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","g"
"3998","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4000","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4001","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","d"
"4002","p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4004","e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"4006","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","d"
"4007","e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4009","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"4012","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4013","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4014","p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","d"
"4015","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4021","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4022","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
